Datum,Zeit,Durée en secondes,Schlafstadium
2026.02.22 02:26:10,02:26:10,1080,light
2026.02.22 02:44:10,02:44:10,60,awake
2026.02.22 02:45:10,02:45:10,1140,light
2026.02.22 03:04:10,03:04:10,60,deep
2026.02.22 03:05:10,03:05:10,60,awake
2026.02.22 03:06:10,03:06:10,360,light
2026.02.22 03:12:10,03:12:10,600,deep
2026.02.22 03:22:10,03:22:10,60,awake
2026.02.22 03:23:10,03:23:10,540,light
2026.02.22 03:32:10,03:32:10,60,awake
2026.02.22 03:33:10,03:33:10,480,light
2026.02.22 03:41:10,03:41:10,60,awake
2026.02.22 03:42:10,03:42:10,420,light
2026.02.22 03:49:10,03:49:10,60,awake
2026.02.22 03:50:10,03:50:10,3420,light
2026.02.22 04:47:10,04:47:10,60,awake
2026.02.22 04:48:10,04:48:10,600,light
2026.02.22 04:58:10,04:58:10,60,awake
2026.02.22 04:59:10,04:59:10,360,light
2026.02.22 05:05:10,05:05:10,60,awake
2026.02.22 05:06:10,05:06:10,360,light
2026.02.22 05:12:10,05:12:10,60,awake
2026.02.22 05:13:10,05:13:10,480,light
2026.02.22 05:21:10,05:21:10,60,awake
2026.02.22 05:22:10,05:22:10,540,light
2026.02.22 05:31:10,05:31:10,60,awake
2026.02.22 05:32:10,05:32:10,1500,light
2026.02.22 05:57:10,05:57:10,60,awake
2026.02.22 05:58:10,05:58:10,1560,light
2026.02.22 06:24:10,06:24:10,120,awake
2026.02.22 06:26:10,06:26:10,300,light
2026.02.22 06:31:10,06:31:10,60,awake
2026.02.22 06:32:10,06:32:10,480,light
2026.02.22 06:40:10,06:40:10,60,rem
2026.02.22 06:41:10,06:41:10,60,awake
2026.02.22 06:42:10,06:42:10,360,light
2026.02.22 06:48:10,06:48:10,480,rem
2026.02.22 06:56:10,06:56:10,900,light
2026.02.22 07:11:10,07:11:10,60,awake
2026.02.22 07:12:10,07:12:10,960,light
2026.02.22 07:28:10,07:28:10,60,awake
2026.02.22 07:29:10,07:29:10,720,light
2026.02.22 07:41:10,07:41:10,60,awake
2026.02.22 07:42:10,07:42:10,360,light
2026.02.22 07:48:10,07:48:10,60,awake
2026.02.22 07:49:10,07:49:10,360,light
2026.02.22 07:55:10,07:55:10,1500,rem
2026.02.22 08:20:10,08:20:10,60,awake
2026.02.22 08:21:10,08:21:10,240,light
2026.02.22 08:25:10,08:25:10,240,rem
2026.02.22 08:29:10,08:29:10,60,awake
2026.02.22 08:30:10,08:30:10,1080,light
2026.02.22 08:48:10,08:48:10,60,awake
2026.02.22 08:49:10,08:49:10,360,light
2026.02.22 08:55:10,08:55:10,60,awake
2026.02.22 08:56:10,08:56:10,120,light
2026.02.22 08:58:10,08:58:10,60,awake
2026.02.22 08:59:10,08:59:10,480,light
2026.02.22 09:07:10,09:07:10,60,rem
2026.02.22 09:08:10,09:08:10,180,light
2026.02.22 09:11:10,09:11:10,60,rem
2026.02.22 09:12:10,09:12:10,60,awake
2026.02.22 09:13:10,09:13:10,120,light
2026.02.22 09:15:10,09:15:10,60,awake
2026.02.22 09:16:10,09:16:10,360,light
2026.02.22 09:22:10,09:22:10,120,awake
